"Category","Series 1"
"Cultural heritage",1.594411606860101
"Cultural history",1.594411606860101
"Museum",1.594411606860101
"Biblical theology",0.7320735235541695
"Pastor",0.7320735235541695
"Assistant pastor",0.3660367617770848
"Chr. HS Windesheim",0.3660367617770848
"Christelijk College Nassau-Veluwe",0.3660367617770848
"Christelijke Hogeschool Ede - CHE",0.3660367617770848
"Gomarus College",0.3660367617770848
