page_id,page_name,disclaimer,amount_spent_eur,number_of_ads_in_library,fb_page,fbad_page,party
100364422327666,BVNL - Belang van Nederland,BVNL,17828,14,https://www.facebook.com/100364422327666,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=100364422327666&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,BVNL
118754531489898,Artsen zonder Grenzen,Artsen zonder Grenzen Nederland,17367,27,https://www.facebook.com/118754531489898,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=118754531489898&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA
100169997009,Proefdiervrij,Proefdiervrij,16422,144,https://www.facebook.com/100169997009,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=100169997009&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA
100660309175869,NieuwRechts,NieuwRechts.nl,15782,178,https://www.facebook.com/100660309175869,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=100660309175869&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA
349312760804,World Vision Nederland,World Vision NL,15742,236,https://www.facebook.com/349312760804,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=349312760804&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA
428670174395114,Vattenfall,Vattenfall Nederland,15030,25,https://www.facebook.com/428670174395114,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=428670174395114&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA
285512534937,Terre des Hommes Nederland,Terre des Hommes Nederland,14937,76,https://www.facebook.com/285512534937,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=285512534937&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA
245644432148792,ING Nederland,ING Nederland,14806,22,https://www.facebook.com/245644432148792,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=245644432148792&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA
969158383214898,Wybren van Haga - BVNL,BVNL,14049,16,https://www.facebook.com/969158383214898,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=969158383214898&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,BVNL
203753056314055,Varkens in Nood,Varkens in Nood,14005,45,https://www.facebook.com/203753056314055,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=203753056314055&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA
133720236695807,Werken voor Nederland,Werken voor Nederland,13990,72,https://www.facebook.com/133720236695807,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=133720236695807&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA
133687759997528,ASN Bank,ASN Bank,12397,2,https://www.facebook.com/133687759997528,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=133687759997528&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA
128393027527,SP,SP,12200,137,https://www.facebook.com/128393027527,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=128393027527&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,SP
107872495911431,VluchtelingenWerk Nederland,VluchtelingenWerk Nederland,11899,28,https://www.facebook.com/107872495911431,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=107872495911431&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA
110087955484633,Beweging Limburg tegen Kindermishandeling,INOVA,11850,14,https://www.facebook.com/110087955484633,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=110087955484633&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA
142080576837,Vrij Nederland,Vrij Nederland,11181,22,https://www.facebook.com/142080576837,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=142080576837&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA
137011549489828,GroenLinks-PvdA,GroenLinks-PvdA,10362,3,https://www.facebook.com/137011549489828,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=137011549489828&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA
1607001549529193,"Waterschap Amstel, Gooi en Vecht","Waterschap Amstel, Gooi en Vecht",10159,38,https://www.facebook.com/1607001549529193,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=1607001549529193&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA
171605059556434,World Animal Protection Nederland,World Animal Protection Nederland,9475,111,https://www.facebook.com/171605059556434,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=171605059556434&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA
108569272275857,Blij van Zuivelvrij,Stichting Dier&Recht,8581,76,https://www.facebook.com/108569272275857,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=108569272275857&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA
108588405832078,Amref Flying Doctors NL,Amref Flying Doctors NL,8336,45,https://www.facebook.com/108588405832078,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=108588405832078&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA
121719834601889,FNV Vakbond,FNV Vakbond,8312,73,https://www.facebook.com/121719834601889,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=121719834601889&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA
514814491878400,NVVE,NVVE,8291,151,https://www.facebook.com/514814491878400,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=514814491878400&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA
100245303370876,APG,APG,8063,13,https://www.facebook.com/100245303370876,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=100245303370876&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA
122074554119,EU Social,EU Social,7992,22,https://www.facebook.com/122074554119,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=122074554119&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA
404247949634770,CARE Nederland,CARE Nederland,7590,214,https://www.facebook.com/404247949634770,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=404247949634770&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA
106370071810105,Cultuur onder Vuur NL,Stichting Civitas Christiana,7389,18,https://www.facebook.com/106370071810105,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=106370071810105&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA
281600435192259,Fonds Slachtofferhulp,Fonds Slachtofferhulp,7243,62,https://www.facebook.com/281600435192259,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=281600435192259&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA
399250573436072,Werken bij Defensie,Werken bij Defensie,6984,21,https://www.facebook.com/399250573436072,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=399250573436072&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA
222029491143966,Free Press Unlimited,Free Press Unlimited,6859,18,https://www.facebook.com/222029491143966,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=222029491143966&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA
105784111524296,Ekō NL,Ekō NL,6857,12,https://www.facebook.com/105784111524296,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=105784111524296&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA
384101518433208,Waterklaar,INOVA,6828,14,https://www.facebook.com/384101518433208,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=384101518433208&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA
194041757291378,PAX,PAX,6257,43,https://www.facebook.com/194041757291378,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=194041757291378&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA
115027651906533,Wakker Dier,Stichting Wakker Dier,5676,86,https://www.facebook.com/115027651906533,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=115027651906533&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA
105539054523015,Futureproof NL,Futureproof,5370,140,https://www.facebook.com/105539054523015,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=105539054523015&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA
115394861582421,Verbroken Ketenen Verbonden Rotterdam,Gemeente Rotterdam,5360,19,https://www.facebook.com/115394861582421,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=115394861582421&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA
198486356863605,Longfonds,Longfonds,5233,60,https://www.facebook.com/198486356863605,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=198486356863605&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA
