X.1,GISCO_ID,CNTR_CODE,LAU_ID,LAU_NAME,POP_2021,POP_DENS_2,AREA_KM2,YEAR,FID,geometry,NUTS3,LAU_CODE,LAU,Registered,Turnout,Invalid,Blank,NLPLAN,OVERIG,LP,SGP,LEF,VVD,D66,SPLINTER,PIRGRO,50PLUS,PVV,NSC,JA21,GL-PvdA,FVD,CDA,BVNL,SP,BBB,CU,SAMEN,Volt,PvdD,DENK,BIJ1,PPBINK,PVDSPO,winner,pvv_100,pvv_100.1,pvv_100.2
0,NL_GM0384,NL,GM0384,Diemen,30780,2189.83051672,14.0558823,2021,NL_GM0384,"POLYGON ((3983289.5117000006 3260966.4683999997, 3983190.971999999 3259525.0911999997, 3981496.1882000007 3258554.7379, 3981372.4990999997 3258306.9349000007, 3981499.880999999 3257734.6593999993, 3980247.874 3256744.9739999995, 3979710.4253000002 3258154.2234000005, 3979358.6687000003 3258530.3604000006, 3978840.7448999994 3258574.7018, 3977669.3582000006 3258067.7803000007, 3977272.9591000006 3257896.3235, 3976666.2398000006 3258360.613399999, 3977138.6755 3259611.0766000003, 3977835.363500001 3260452.7562000006, 3978572.023499999 3261343.115599999, 3980558.4286 3259748.3488999996, 3981192.329500001 3259760.9278999995, 3981755.9517 3260395.650800001, 3983289.5117000006 3260966.4683999997))",NL329,GM0384,Diemen,20789.0,15292.0,61.0,37.0,0.0009214163485586416,0.0,0.0005923390812162696,0.0017770172436488087,0.0007239699881532184,0.14334605765433725,0.07259444517572726,0.0017770172436488087,0.0011188627089640647,0.004870343556667106,0.17046202448334868,0.09753850204027906,0.004870343556667106,0.2729366855337633,0.024154271422930106,0.014413584309595892,0.0053968671844149005,0.03665920758194024,0.015598262472028432,0.009609056206397262,0.0005265236277477951,0.026391996840858235,0.03435566671054364,0.041529551138607346,0.017243648808740294,0.0,0.0005923390812162696,GL-PvdA,17.046202448334867,17.046202448334867,17.046202448334867
1,NL_GM0385,NL,GM0385,Edam-Volendam,36197,452.12067456,80.06048393,2021,NL_GM0385,"POLYGON ((3981576.892999999 3276715.5638999995, 3983477.2613999993 3279645.6513, 3982448.683700001 3280311.7983999997, 3981290.4814999998 3279597.3585, 3979241.920499999 3280639.4932000004, 3979064.909499999 3280729.6021999996, 3979266.2705000006 3280988.6306999996, 3980432.6745999996 3282489.723099999, 3980747.3149999995 3284319.6336000003, 3982098.1689 3285801.2646999992, 3981819.9012 3286436.7683000006, 3981038.8928999994 3286998.4814, 3979654.1082000006 3286548.0370000005, 3979394.9186000004 3286463.780200001, 3979224.413899999 3287396.3280999996, 3979093.3817 3288113.3424999993, 3979763.853 3288120.641899999, 3982742.2599 3288154.1733999997, 3983135.848099999 3289505.1875, 3984443.2335 3289678.1373999994, 3985849.141899999 3286940.1523, 3986443.3279 3285784.1576000005, 3987510.2914000005 3281858.6293, 3988633.7644999996 3277725.8516000006, 3989388.3005 3276542.0504, 3985780.6076999996 3275449.3550000004, 3985493.7401 3275970.9427000005, 3983257.795499999 3275568.1076999996, 3981576.892999999 3276715.5638999995))",NL329,GM0385,Edam-Volendam,29196.0,25222.0,45.0,31.0,0.00019883878151594688,0.0,0.0,0.000954426151276545,0.0001590710252127575,0.1463851109520401,0.030303030303030304,0.0010737294201861132,0.0005567485882446513,0.0027042074286168774,0.42913385826771655,0.09818659031257457,0.007834247991728306,0.0827567008669371,0.0351546965720194,0.022031336991966913,0.007277499403483655,0.016781993159945916,0.08327368169887855,0.004135846655531695,0.00039767756303189377,0.009703332537978207,0.014395927781754553,0.005368647100930566,0.0008748906386701663,0.0,0.00035790980672870435,PVV,42.91338582677165,42.91338582677165,42.91338582677165
2,NL_GM0388,NL,GM0388,Enkhuizen,18591,160.17536211,116.06653954,2021,NL_GM0388,"POLYGON ((4007468.815199999 3295194.5885000005, 4003724.9496 3297103.807499999, 4003293.2215 3297324.2508000005, 4002612.8742999993 3297198.2663000003, 4002587.7179000005 3297177.5160000008, 4001281.2742999997 3296100.306, 4000717.0143999998 3296954.4849999994, 4000722.9213999994 3297298.955, 4000771.6678 3300134.8423999995, 4000811.662799999 3302591.207699999, 4000822.4648 3303252.960000001, 4001115.387700001 3303283.8849, 4001791.3319000006 3303355.315300001, 4002080.2859000005 3303965.7085999995, 4001244.9055000003 3305254.2382999994, 3998363.0834999997 3309706.1800999995, 4001724.659499999 3312549.6206, 4002025.1614999995 3312804.0703999996, 4003271.2084999997 3313859.6259000003, 4004066.0682999995 3312671.2557999995, 4006759.281300001 3308650.4166, 4008102.2053999994 3306644.1643000003, 4009190.2239999995 3305020.3268999998, 4008676.1032 3302083.4059999995, 4007758.1492 3296844.5372, 4007468.815199999 3295194.5885000005))",NL321,GM0388,Enkhuizen,14237.0,11205.0,17.0,30.0,0.0002688653880623768,0.0,0.0008065961641871303,0.0138913783832228,0.0008962179602079225,0.15836171356873993,0.061749417458325864,0.001433948736332676,0.0012547051442910915,0.006452769313497042,0.25049291987811434,0.13514966839935472,0.008155583437892095,0.14366373902132998,0.03217422477146442,0.027334647786341638,0.006632012905538627,0.04454203262233375,0.03522136583617136,0.010037641154328732,0.0008962179602079225,0.014787596343430723,0.027155404194300053,0.015863057895680228,0.001792435920415845,0.0,0.000985839756228715,PVV,25.049291987811433,25.049291987811433,25.049291987811433
3,NL_GM0392,NL,GM0392,Haarlem,162902,5078.94307741,32.07399601,2021,NL_GM0392,"POLYGON ((3956037.5803999994 3261154.154100001, 3956164.4991999995 3261994.1657, 3955910.8125 3263006.0207, 3955973.2334000003 3263593.628799999, 3953908.3907999992 3264039.5853000004, 3953984.7817 3264377.2544, 3953649.750499999 3265480.6252999995, 3953761.5933 3266224.6669999994, 3954518.3752999995 3266862.6520000007, 3955219.5858999994 3266802.1521000005, 3956083.9738 3269272.6294, 3956451.8203 3269301.7342000008, 3957605.4558000006 3270991.4196000006, 3959472.9804 3269813.4897000007, 3959539.8253000006 3269201.4521999992, 3958893.2435 3268825.2084999997, 3958566.1400000006 3268139.348200001, 3958991.1273999996 3267667.2749000005, 3958828.399 3266857.4036, 3959560.4420999996 3266176.0282000005, 3958500.252699999 3264664.4174000006, 3958567.5141000003 3262672.8531, 3956968.6787 3261448.8036, 3956037.5803999994 3261154.154100001))",NL324,GM0392,Haarlem,116276.0,91302.0,243.0,169.0,0.0006051270766861041,0.0,0.0005171085928044889,0.0020904389921883597,0.0007041478710529211,0.14134668280338872,0.1064253493233579,0.0018043789195731103,0.0013532841896798328,0.004874023544944438,0.1505446143690175,0.09200132027725823,0.005908240730553416,0.27640004400924195,0.020772362196061173,0.017823742986027066,0.0052370997909561,0.03466828033887116,0.016426449554406426,0.00837275827923864,0.0003850808669820662,0.03226977665309715,0.04146770821872593,0.031653647265925844,0.005743206073275388,0.0,0.0006051270766861041,GL-PvdA,15.05446143690175,15.05446143690175,15.05446143690175
4,NL_GM0394,NL,GM0394,Haarlemmermeer,156002,756.04231931,206.34030135,2021,NL_GM0394,"POLYGON ((3962453.0261000004 3271223.8036, 3963534.7885 3270909.4705999997, 3962640.2025000006 3267666.3901000004, 3964489.327299999 3266883.6521000005, 3964473.6034999993 3265267.9213999994, 3964105.8665999994 3262586.7486000005, 3966233.8707 3260799.9159999993, 3968092.1928000003 3258780.333900001, 3967792.0293000005 3257204.687999999, 3967324.0339 3256636.2650000006, 3966428.5626999997 3256082.801999999, 3965870.8762999997 3255000.724300001, 3965069.9331 3254246.0877, 3961384.8869000003 3252394.4453999996, 3959490.5516999997 3250400.673800001, 3958124.2685000002 3249886.5902999993, 3957228.5692999996 3248994.4243, 3956823.113 3248653.7247, 3956390.9109000005 3248537.307, 3955580.2662000004 3248054.943499999, 3955371.488 3247987.7299000006, 3954511.1632000003 3247556.4584999997, 3953533.2951999996 3247446.0703999996, 3952479.6613 3247546.050899999, 3951218.7228999995 3248116.3101000004, 3951070.0560999997 3248113.3862999994, 3950547.2159 3247983.7364000008, 3950339.2569999993 3247968.573999999, 3949477.058599999 3248244.3398, 3949222.2018 3248647.114499999, 3949117.403000001 3249254.5782999992, 3949979.9825 3250132.6488000005, 3950557.2183999997 3252460.444700001, 3950593.6469 3253546.0666000005, 3950911.1358000003 3253971.4322999995, 3952060.6297999993 3254924.6603999995, 3952284.596999999 3255493.5241, 3952656.7632 3256068.7803000007, 3952790.692399999 3256638.8331000004, 3953360.6471999995 3257672.0481000002, 3953870.1796000004 3258282.7694000006, 3953916.8430000003 3258484.5315000005, 3953967.8094999995 3259442.685900001, 3953985.9525000006 3259688.3122000005, 3954054.5639999993 3259910.9946999997, 3954395.8122000005 3260441.865, 3954544.0834999997 3260611.4306000005, 3955361.6751000006 3261038.434800001, 3956037.5803999994 3261154.154100001, 3956968.6787 3261448.8036, 3958567.5141000003 3262672.8531, 3958500.252699999 3264664.4174000006, 3959560.4420999996 3266176.0282000005, 3958828.399 3266857.4036, 3958991.1273999996 3267667.2749000005, 3958566.1400000006 3268139.348200001, 3958893.2435 3268825.2084999997, 3959539.8253000006 3269201.4521999992, 3960869.740599999 3270364.9154000003, 3962453.0261000004 3271223.8036))",NL329,GM0394,Haarlemmermeer,116771.0,90645.0,223.0,167.0,0.0007201817073846324,0.0,0.0005650656473325578,0.006525954240762285,0.0006204642402082987,0.21846989086477203,0.06347570771702399,0.0027034513323361585,0.0008420586117112625,0.006559193396487729,0.257271065314941,0.11777740845382527,0.00918508669879785,0.12033682344468451,0.025771425405794694,0.027100991634812475,0.006116004653481801,0.025106642291285803,0.03075729876461138,0.013949365686111572,0.0006869425516591879,0.014314996399091463,0.01892415932635311,0.027544180377818403,0.0040330175613539415,0.0,0.000642623677358595,PVV,25.727106531494098,25.727106531494098,25.727106531494098
5,NL_GM0396,NL,GM0396,Heemskerk,39182,1410.78408025,27.77320821,2021,NL_GM0396,"POLYGON ((3962767.238500001 3278079.3899000008, 3962374.8325999994 3277910.3859, 3961917.6372999996 3277436.5661999993, 3961866.5502000004 3277181.3968, 3959893.521400001 3278160.092, 3959142.4125999995 3279030.0143999998, 3954925.5802999996 3278632.8015, 3953780.772 3279199.4168999996, 3954040.836100001 3279919.533500001, 3954626.5890999995 3281906.6437, 3954857.2194 3282774.376599999, 3955178.9345999993 3282677.8859, 3958482.6806000005 3282379.7300000004, 3958731.556 3282455.8899000008, 3958986.3632999994 3282466.102499999, 3960701.6407999992 3281959.9729999993, 3960995.031199999 3281833.7466, 3961369.1363999993 3281725.9169999994, 3960976.9209000003 3280823.955, 3961032.1659999993 3280025.4470000006, 3961310.0264999997 3279652.671, 3962061.0823999997 3279766.7525999993, 3961787.3804 3278826.5461, 3962767.238500001 3278079.3899000008))",NL323,GM0396,Heemskerk,31082.0,24196.0,45.0,35.0,0.0006219936971305357,0.0,0.0002487974788522143,0.0018245148449162383,0.0009122574224581191,0.1695969480842594,0.06423121579034666,0.0015757173660640238,0.0006219936971305357,0.00829324929507381,0.2700696632940786,0.12945762149610218,0.0087079117598275,0.13323104992536075,0.029482501243987394,0.02977276496931498,0.006219936971305357,0.038273345496765636,0.03997346160225576,0.0071736606402388456,0.0006219936971305357,0.012730137667938297,0.0214380494277658,0.02185271189251949,0.002405042295571405,0.0,0.0006634599436059048,PVV,27.00696632940786,27.00696632940786,27.00696632940786
6,NL_GM0397,NL,GM0397,Heemstede,27234,2823.40917053,9.64578577,2021,NL_GM0397,"POLYGON ((3953967.8094999995 3259442.685900001, 3952640.0029000007 3260361.0726999994, 3953908.3907999992 3264039.5853000004, 3955973.2334000003 3263593.628799999, 3955910.8125 3263006.0207, 3956164.4991999995 3261994.1657, 3956037.5803999994 3261154.154100001, 3955361.6751000006 3261038.434800001, 3954544.0834999997 3260611.4306000005, 3954395.8122000005 3260441.865, 3954054.5639999993 3259910.9946999997, 3953985.9525000006 3259688.3122000005, 3953967.8094999995 3259442.685900001))",NL324,GM0397,Heemstede,20516.0,17499.0,27.0,26.0,0.00017195918835263098,0.0,0.00034391837670526195,0.0016622721540754328,0.00022927891780350797,0.2934196950590393,0.13195001719591884,0.0011463945890175398,0.0005731972945087699,0.0025793878252894646,0.11521265619626275,0.09555198899461194,0.0068210478046543625,0.1898429439413046,0.01467385073942451,0.03301616416370515,0.004585578356070159,0.017253238564713974,0.01410065344491574,0.00894187779433681,0.00022927891780350797,0.03370400091711567,0.02705491230081394,0.004757537544422791,0.0016049524246245558,0.0,0.0005731972945087699,VVD,11.521265619626275,11.521265619626275,11.521265619626275
7,NL_GM0399,NL,GM0399,Heiloo,23968,1264.03830683,18.96145067,2021,NL_GM0399,"POLYGON ((3963436.9301999994 3292521.6317999996, 3964915.2783000004 3291353.829, 3964640.223099999 3290542.170499999, 3964789.0746999998 3289045.2529000007, 3965712.9001 3288682.880999999, 3965201.6313000005 3288398.4727999996, 3964413.471999999 3287366.653999999, 3961590.9889 3287664.4209000003, 3960468.2284999993 3288443.0019000005, 3960325.6613999996 3288966.8018999994, 3960531.286699999 3290189.3772, 3961656.6632000003 3292357.0505, 3962914.0691 3292114.4913, 3963436.9301999994 3292521.6317999996))",NL328,GM0399,Heiloo,19460.0,16782.0,18.0,30.0,0.0004780686028445082,0.0,0.0004780686028445082,0.0017927572606669057,0.0004780686028445082,0.21381618262220628,0.09764551213099079,0.001254930082466834,0.0004780686028445082,0.0044818931516672645,0.16242380781642166,0.1177841520258157,0.00830644197442333,0.20294012190749372,0.01918250268913589,0.03705031672044939,0.006035616110911916,0.026652324608581333,0.028206047567825982,0.008724752001912275,0.0007171029042667623,0.02234970718298076,0.03394287080196008,0.002987928767778176,0.0007768614796223258,0.0,0.0010158957810445799,VVD,16.242380781642165,16.242380781642165,16.242380781642165
8,NL_GM0400,NL,GM0400,Den Helder,56296,1182.24768768,47.61777129,2021,NL_GM0400,"POLYGON ((3965201.2047000006 3321278.4263000004, 3966112.054300001 3327717.1092000008, 3966570.3468999993 3328852.7624999993, 3967497.0527999997 3329868.4278999995, 3970309.8928999994 3329956.6382999998, 3970585.5428 3328932.5957999993, 3971351.465 3328969.830600001, 3971596.0693999995 3329631.4246999994, 3971883.3005 3329612.6169000007, 3971947.4155 3328807.0457000006, 3971216.474199999 3326755.443499999, 3972208.3554 3324128.3212, 3971104.7716000006 3323928.7414999995, 3969582.6415 3321002.0908000004, 3969283.795499999 3320427.8894999996, 3965201.2047000006 3321278.4263000004))",NL321,GM0400,Den Helder,44845.0,31523.0,49.0,64.0,0.000795924864692773,0.0,0.00041388092964024194,0.006717605858007004,0.0006049028971665075,0.16571155682903535,0.04183381088825215,0.0013371537726838587,0.0016555237185609678,0.00830945558739255,0.33769500159184973,0.11604584527220631,0.008468640560331104,0.09261381725565107,0.034415791149315506,0.04345749761222541,0.007640878701050621,0.033810888252149,0.04695956701687361,0.01703279210442534,0.0005730659025787965,0.008182107609041707,0.017160140082776186,0.005635148042024833,0.002451448583253741,0.0,0.0004775549188156638,PVV,33.76950015918497,33.76950015918497,33.76950015918497
9,NL_GM0405,NL,GM0405,Hoorn,73261,1372.99251271,53.35863038,2021,NL_GM0405,"POLYGON ((3987439.0555000007 3286245.5244999994, 3986443.3279 3285784.1576000005, 3985849.141899999 3286940.1523, 3984443.2335 3289678.1373999994, 3984139.5228000004 3291486.4713000003, 3983722.0386999995 3292007.735200001, 3985437.9681 3293694.9772999994, 3985558.5396999996 3294441.6860000007, 3985374.0657 3295633.3593000006, 3985578.9286 3296066.2201000005, 3987226.4209000003 3296243.1093000006, 3987468.6191000007 3296700.2183999997, 3988770.1647999994 3297325.9104999993, 3989286.8485000003 3296748.7491999995, 3989672.1856999993 3295519.0182000007, 3990822.4153000005 3293605.6064, 3989817.704 3293158.683700001, 3989899.6970000006 3291945.0621000007, 3989261.7018 3291507.5129000004, 3991053.0218 3289541.7216, 3991693.094799999 3288219.0484999996, 3988543.1218999997 3286757.2152999993, 3987439.0555000007 3286245.5244999994))",NL321,GM0405,Hoorn,56697.0,42650.0,103.0,136.0,0.0007781000212209097,0.0,0.00047157577043691496,0.0022635636980971917,0.0010374666949612128,0.1660182499823159,0.07080710193110278,0.0021928273325316546,0.0016976727735728938,0.0073094244417721815,0.23984343684421494,0.12128928815637452,0.008488363867864468,0.1665841409068402,0.0305109523472684,0.02522930371837495,0.006696375940204192,0.03694796161373229,0.03270377967980005,0.008441206290820777,0.0008488363867864469,0.016151470137464336,0.025913088585508476,0.019876918723915966,0.004126287991323006,0.0,0.0009667303293956756,PVV,23.984343684421493,23.984343684421493,23.984343684421493
