page_id,page_name,disclaimer,amount_spent_eur,number_of_ads_in_library,fb_page,fbad_page,party,coder,other
189701254384965,Eneco,Eneco,141386,224,https://www.facebook.com/189701254384965,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=189701254384965&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA,Eva,
100717511317223,Zet ook de knop om,Ministerie van Economische Zaken en Klimaat,138047,27,https://www.facebook.com/100717511317223,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=100717511317223&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA,Eva,
288295911466,Greenpeace Nederland,Greenpeace Nederland,107346,858,https://www.facebook.com/288295911466,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=288295911466&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA,Eva,
83439828234,Milieudefensie,Milieudefensie,66268,701,https://www.facebook.com/83439828234,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=83439828234&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA,Eva,
57729029960,Amnesty International Nederland,Amnesty International Nederland,58694,308,https://www.facebook.com/57729029960,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=57729029960&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA,Eva,
120034538112114,Stichting Vluchteling,Stichting Vluchteling,58505,5,https://www.facebook.com/120034538112114,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=120034538112114&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA,Eva,
93833638834,Plan International NL,Plan International NL,48502,155,https://www.facebook.com/93833638834,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=93833638834&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA,Eva,
100455310014019,Solidaridad,Solidaridad,31780,331,https://www.facebook.com/100455310014019,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=100455310014019&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA,Eva,
159449970751999,Save the Children Nederland,Save the Children Nederland,29417,79,https://www.facebook.com/159449970751999,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=159449970751999&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA,Eva,
111534388878604,NIVEA,NIVEA,27296,22,https://www.facebook.com/111534388878604,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=111534388878604&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA,Eva,
488054904564547,ifaw,Stichting IFAW,27099,195,https://www.facebook.com/488054904564547,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=488054904564547&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA,Eva,
120184871378246,Aidsfonds,Aidsfonds,25780,42,https://www.facebook.com/120184871378246,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=120184871378246&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA,Eva,
201751609836046,Dokters van de Wereld (NL),Dokters van de Wereld,25346,39,https://www.facebook.com/201751609836046,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=201751609836046&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA,Eva,
320374518118,CDA,CDA,24353,1683,https://www.facebook.com/320374518118,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=320374518118&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,CDA,Eva,
130133230331245,Wereld Natuur Fonds - WWF,Wereld Natuur Fonds - WWF,24260,84,https://www.facebook.com/130133230331245,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=130133230331245&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA,Eva,
115289021825188,Oxfam Novib,Oxfam Novib,22724,389,https://www.facebook.com/115289021825188,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=115289021825188&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA,Eva,
107104755358059,Nationale Klimaatweek,Nationale Klimaatweek,22646,11,https://www.facebook.com/107104755358059,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=107104755358059&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA,Eva,
139858509373289,UNICEF Nederland,Unicef Nederland,22126,275,https://www.facebook.com/139858509373289,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=139858509373289&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA,Eva,
