"id","advertiser_id","advertiser_name","disclaimer","spend","ad_library_size","date_produced","country_code","currency_units","create_date","update_date"
"b21bb695-df31-43a1-baff-650c74cd0ac7","201751609836046","Dokters van de Wereld (NL)","Dokters van de Wereld",20,6,"2023-10-13","NL","EUR","2023-10-17",
"eecaa9e4-e8aa-4496-912e-70f13fa1bbf6","325306177501144","Amsterdam Stadsdeel Zuid","Gemeente Amsterdam",20,68,"2023-10-13","NL","EUR","2023-10-17",
"343f6d28-9d2f-452e-b3a0-0255fc8ada27","107948478848391","Art.1 Midden Nederland","Art.1 Midden Nederland",20,99,"2023-10-13","NL","EUR","2023-10-17",
"87b6ec7c-e3f5-4fc3-b676-430ccbb6bc1c","118582591622050","Provincie Limburg","Provincie Limburg",20,4,"2023-10-13","NL","EUR","2023-10-17",
"7a91f5bb-21d8-41dc-8e48-a3ee0a7265a9","2326697260991619","Kim van Sparrentak","GroenLinks",20,1,"2023-10-13","NL","EUR","2023-10-17",
"877d8666-a78b-471a-b942-69820111cb5a","132206508583021","FIKS","Starters4Communities",20,1,"2023-10-13","NL","EUR","2023-10-17",
"51e1203f-65f9-4607-9a19-0800898dc479","160001040736183","Fairtrade Nederland","Fairtrade Nederland",20,11,"2023-10-13","NL","EUR","2023-10-17",
"bdd5c1cd-56f0-4d90-b225-3ccc38565d5f","111257452230362","𝙔𝙪𝙨𝙪𝙛 𝘾𝙝𝙖𝙢𝙗𝙚𝙧𝙨","These ads ran without a disclaimer",20,2,"2023-10-13","NL","EUR","2023-10-17",
"57716eda-3b77-45b1-80d5-d679308c6693","138716512980750","Europa in Nederland","De Vertegenwoordiging van de Europese Commissie",20,2,"2023-10-13","NL","EUR","2023-10-17",
"25d38aa3-beb9-45ed-8fcc-37132e4c7d54","111780358981958","Gemeente Loon op Zand","Gemeente Loon op Zand",20,1,"2023-10-13","NL","EUR","2023-10-17",
"4f44e14d-c642-4e9e-bd88-0b459e662f36","142080576837","Vrij Nederland","Vrij Nederland",20,5,"2023-10-13","NL","EUR","2023-10-17",
"cbfcfc31-e1d8-4682-9ae3-ef1db69b4655","349312760804","World Vision Nederland","World Vision NL",20,23,"2023-10-13","NL","EUR","2023-10-17",
"bfc3c0d9-c803-487a-aab0-f2f84199a2d8","114824741963035","Kom over en help","St. Kom over en help",20,27,"2023-10-13","NL","EUR","2023-10-17",
"dd8d60b2-3584-4d2b-ad44-1bba9aae9ee4","38957713985","VPRO","VPRO",20,1,"2023-10-13","NL","EUR","2023-10-17",
"751e5dd8-e31c-4813-a6a4-a6779ce081d8","319495812163","Deloitte","Deloitte Nederland",20,2,"2023-10-13","NL","EUR","2023-10-17",
"a80d05e5-a89b-489b-b19d-b2662b5f61f2","143686555666670","Trees for All","Trees for All",20,9,"2023-10-13","NL","EUR","2023-10-17",
